Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
2/5/2025,,1685.624992966652,,,,,,,,,,57,,,,,,,,
2/6/2025,,1691.4713916670069,,,,,,,,,,31,,,,,,83267,,
2/7/2025,5,1709.8716992450027,170.93460583955377,,,,,,0.3114448783373098,1.311647958430938,0.30379408064176555,493,,,,,,158291,83343,
2/8/2025,3,1695.6961584557591,137.80330720551012,,,,,,0.39535278857056017,0.7099645506596745,0.2514157908759439,476,,,,,,143438,,
2/9/2025,66,1966.4620437876683,4343.687059849499,41,41,,,,0.9132940050716525,1.5134517045924294,0.2723671067822726,6499,,,,,,3999806,,
2/10/2025,23,1782.72425437253,1124.3578731085017,7,7,,,,0.7779027286399057,1.41583916770096,0.2514157908759439,2010,,,,,,1382931,,
2/11/2025,,1685.624992966652,47.769000266429344,,,,,,0.25240853146588205,0.26189144882910825,0.2514157908759439,232,,,,,,,,
2/12/2025,,7688.808593676736,,,,74.77380952380952,129,47,0.31426973399761265,0.31426973399761265,0.31426973399761265,7,,,,,,,,
2/13/2025,,7752,1232.00774898374,,,72.93840579710145,123,47,0.13807539888783965,0.26189144882910825,0.014259348946571063,1689,,,,,,86400000,,
2/14/2025,,7752,1232.00774898374,,,74.21920289855072,144,47,,,,1689,,,,,,86400000,,
2/15/2025,6,6867.320311474304,1052.3399522569443,,,73.0099760574621,117,49,0.839269335088316,1.2341693946734884,0.3142697291298651,1443,,,,,,73800000,,
2/16/2025,32,1778.9166420930485,1614.4302675905114,11,11,,,,0.32431293920230514,1.3734975677905905,0.2514157908759439,2673,,,,,,1328701,,
2/17/2025,,1685.624992966652,46.9915404361526,,,,,,0.39196880751277835,0.5443936852773976,0.26189144882910825,305,,,,,,,,
2/18/2025,,1685.624992966652,47.140460789239484,,,,,,0.4435273220434371,0.6014689970851749,0.29331842268860125,422,,,,,,,,
2/19/2025,3,1685.624992966652,83.96714784807197,,,,,,0.3142697422231624,0.3142697509723232,0.3142697301261877,236,,,,,,,,
2/20/2025,29,1756.881803763509,1262.1599162924217,5,5,,,,0.3967361256773871,1.448794603888464,0.25122344015991566,2085,,,,,,1014871,,
2/21/2025,65,1960.7804219927166,3445.145726814013,17,17,,,,0.46685463260582294,1.3923437964486336,0.2514157908759439,5743,,,,,,3918887,,
2/22/2025,24,1778.4274376207886,1597.1438773372402,16,16,,,,0.45278467932543415,1.405672402175394,0.28284276473543696,2580,,,,,,1321733,,
2/23/2025,,1685.6249929666517,78.92401531627881,,,,,,0.3350693946919736,0.5992429894037862,0.26827908008372764,326,,,,,,,,
2/24/2025,,1685.624992966652,16.53090530388636,,,,,,0.2514157908759439,0.2514157908759439,0.2514157908759439,228,,,,,,,,
2/25/2025,8,1716.9946866044631,492.2088260419472,2,2,,,,0.3113471501635315,1.3043315636423394,0.28284276473543696,796,,,,,,446782,,
2/26/2025,60,1965.9742269619,2791.738380100402,4,4,,,,0.4160649360127245,1.43020676850203,0.2514157908759439,4507,,,,,,3992857,,
2/27/2025,70,1938.5582351110465,4343.427862112323,41,41,,,,0.5937527811297822,1.4352212812452658,0.26189144882910825,6769,,,,,,3602387,,
2/28/2025,,1685.6249929666517,2.5141579087594392,,,,,,,,,181,,,,,,,,
